text,label
"Your account has been suspended. Click here to verify immediately http://fake-bank-login.com",phishing
"Congratulations! You won a free iPhone. Claim now.",phishing
"Urgent action required. Update your password now.",phishing
"Reset your banking password immediately.",phishing
"Verify your account by clicking this secure link.",phishing
"Meeting scheduled for tomorrow at 10 AM.",safe
"Please find attached project report.",safe
"Lunch meeting confirmed.",safe
"Invoice for last month attached.",safe
"Your Amazon order has been shipped.",safe
